alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
14,Greece,,Agiorgitiko,49.6,Nemeion,Igemon (1741),Red,2007
,Greece,,Malagouzia,12.1,Karadimos,Malagouzia Drios Karadimou (2915),White,2017
13.5,Greece,,Cabernet Franc,15.5,Porto Carras,Chateau Porto Carras (472),Red,2010
14,Greece,,Syrah,27.3,Avantis,Freedom (3929),Red,2016
13.5,Greece,,Athiri,9.5,Porto Carras,Melissanthi (467),White,2018
,Greece,,Cabernet Sauvignon,8.6,Karadimos,Hilia Stafilia (3805),Red,2017
12.5,Greece,,Agiorgitiko,12.3,Lafkiotis,Agionymo Lafkiotis (2647),Red,2000
13,Greece,,Agiorgitiko,8.6,Semeli,Orinos Helios - Rose (2256),,2009
12.5,Greece,,Malagouzia,10.2,Lantides,Mikri Kivotos - White (960),White,
13.9,Greece,,Cabernet Sauvignon,8.4,Lantides,Lantides Estate - Chrysampelo (1745),Red,2005
12.6,Greece,,Viognier,8.8,Mercury,Foloi (388),White,2018
14,Greece,,Syrah,22.4,Avantis,Plagies Gerakion - Red (2517),Red,2016
12,Greece,,Moshofilero,8.8,Lantides,Anosis (1749),White,2018
12.6,Greece,,Chardonnay,13.3,Claudia Papayianni,Domaine Claudia Papayianni White (2543),White,2016
12,Greece,,Malagouzia,12.1,Claudia Papayianni,Alexandra (2544),White,2018
12.2,Greece,,Viognier,10.4,Claudia Papayianni,CP White (2545),White,2017
13,Greece,,Syrah,8.6,Semeli,Orinos Helios - Red (490),Red,2017
11.5,Greece,,Moshofilero,7.4,Lafkiotis,Moschofilero Lafkiotis (2648),White,2007
,Greece,,Agiorgitiko,6.6,Semeli,Giorti - White (2696),Red,
13.2,Greece,,Sauvignon Blanc,13.0,Akrathos,Oros (4078),White,2017
14,Greece,,Agiorgitiko,16.6,Palivos,Terra Leone - Ammos Reserve (73),Red,2006
14,Greece,,Chardonnay,36.0,Antonopoulos,ANAX (154),White,2018
12.5,Greece,,Moshofilero,11.8,Gentilini Kosmetatos,Notes Rose (228),,2018
13.5,Greece,,Agiorgitiko,10.9,Palivos,Palivou Estate - Nemea (74),Red,2006
12,Greece,,Kotsifali,5.3,Boutari,Boutari - Kritikos Red (3037),Red,2016
,Greece,,Moshofilero,6.6,Semeli,Piccolo Mondo - White (2697),White,
13,Greece,,Cabernet Sauvignon,8.2,Symeonidis,Iliostalachtos - Red (2075),Red,2013
12.5,Greece,,Sauvignon Blanc,6.9,Symeonidis,Iliostalachtos - White (2074),White,2018
13,Greece,,Sauvignon Blanc,11.7,Ampelois,Symfonia (2186),White,2017
12,Greece,,Chardonnay,9.9,Boutari,4 Epoches (9),White,2010
"15,5",Greece,,Cabernet Franc,20.4,Antonopoulos,Nea Dris- Cabernet (162),Red,2015
14,Greece,,Merlot,15.4,Ampelois,Ampelois Gold (2183),Red,2012
13,Greece,,Syrah,13.5,Gentilini Kosmetatos,Notes Red (226),Red,2017
14,Greece,,Sangiovese,16.9,Karipidis,Karipidis - Sangiovese (355),Red,2014
13,Greece,,Viognier,14.1,Mercury,Coma Berenices (391),White,2017
14,Greece,,Refosco,24.0,Mercury,"Domaine Mercouri ""Cava"" (394)",Red,2014
13,Greece,,Cabernet Sauvignon,12.0,Symeonidis,Idypnoos Merlot (510),Red,2013
14,Greece,,Syrah,16.3,Boutari,Scalarea (1107),Red,2013
13,Greece,,Grenache Rouge,9.6,Symeonidis,Kokkino Fili (511),Red,2017
13.5,Greece,,Cabernet Sauvignon,10.4,Boutari,Cava Boutari  (2502),Red,2010
13,Greece,,Refosco,14.1,Mercury,Mercouri Estate - Red (395),Red,2017
"13,5",Greece,,Nebbiolo,17.3,Karipidis,Karipidis - Nebbiolo (2512),Red,2012
"12,5",Greece,,Sauvignon Blanc,14.6,Karipidis,Karipidis - Sauvignon Blanc Fume (2562),White,2018
,Greece,,Syrah,43.6,Vrinioti Wines,Vriniotis Syrah Wild Fermentation (2716),Red,2015
14,Greece,,Syrah,10.6,Boutari,Syrah Boutari (2617),Red,2016
12.5,Greece,,Malagouzia,7.7,Markou,Malagouzia Markou (3092),White,2018
,Greece,,Sauvignon Blanc,10.0,Lantides,ERGO Lantides White (3209),White,2018
,Greece,,Moshofilero,10.6,Lantides,Little Arc - Rose (4046),,2017
11.5,Greece,,Moshofilero,10.2,Palivos,La Vie en Rose (3255),,2008
,Greece,,Agiorgitiko,7.4,Markou,Savatiano Markou (4263),,2018
12,Greece,,Syrah,9.7,Sgouridis,Sgouridis - Rose  (2420),,2016
13,Greece,,Pinot Noir,14.9,Dio Filoi,Dio Filoi - Pinot Noir (2274),Red,2016
12.5,Greece,,Malagouzia,13.0,Ampelois,Ampelois - Malagouzia (2286),White,2018
11.5,Greece,,Moshofilero,10.3,Boutari,Oropedio (3175),White,2017
"13,5",Greece,,Cabernet Sauvignon,8.6,Karanika,Terra Levea Red (2856),Red,2015
,Greece,,Agiorgitiko,8.7,Markou,Savatiano Markou (4264),Red,2016
14,Greece,,Cabernet Sauvignon,17.4,Lantides,Cava Lantides (1746),Red,2005
13,Greece,,Agiorgitiko,10.1,Lantides,Lantides Estate - Nemea (1744),Red,2005
13,Greece,,Cabernet Sauvignon,9.5,Lantides,Ergo- Rose (1747),,2018
12.5,Greece,,Sauvignon Blanc,11.3,Karipidis,Karipidis - Sauvignon Blanc (2015),White,2018
13,Greece,,Agiorgitiko,7.5,Palivos,Anemos - Red (2231),Red,2003
13.5,Greece,,Cabernet Sauvignon,14.8,Ampelois,Ampelois Silver (2184),Red,2014
12.5,Greece,,Malagouzia,10.7,Symeonidis,Symeonidis - Malagouzia  (2073),White,2018
14,Greece,,Merlot,14.7,Karipidis,Karipidis - Merlot (2017),Red,2014
13.3,Greece,,Agiorgitiko,17.5,Akrathos,Philosopher (4080),Red,2015
13.5,Greece,,Syrah,14.5,Karipidis,Karipidis - Syrah (2381),Red,2013
14.5,Greece,,Pinot Noir,16.7,ALPHA,Alpha Estate - Pinot Noir (100),Red,2017
13.5,Greece,,Krasato,9.6,Tsantalis,Rapsani (11),Red,2016
14,Greece,,Syrah,13.4,ALPHA,Alpha Estate - Syrah Chelones (1997),Red,2016
13,Greece,,Malagouzia,10.7,ALPHA,Alpha Estate - Malagouzia (2246),White,2018
12.5,Greece,,Malagouzia,9.9,Anastasia Fragou,Neilys Malagouzia (2316),White,2018
14.5,Greece,,Merlot,23.2,ALPHA,Alpha Estate - Red (1994),Red,2016
12.8,Greece,,Cabernet Sauvignon,10.9,Claudia Papayianni,CP Red (2546),Red,2016
,Greece,,Cabernet Sauvignon,6.0,Cavino,Nea Dris- Cabernet (4092),Red,
11.5,Greece,,Moshofilero,7.2,Spiropoulos,Orino White (2448),White,2018
13.5,Greece,,Cabernet Sauvignon,16.1,Chatzimichalis,Hatzimichalis Estate - Cabernet Sauvignon (47),Red,2011
12,Greece,,Roditis,8.5,Gaia,Retinitis Nobilis (233),White,
14,Greece,,Agiorgitiko,24.9,Gaia,Gaia Estate - Red (234),Red,2016
13.8,Greece,,Agiorgitiko,21.7,Gaia,Anatolikos (239),Red,2006
13.5,Greece,,Agiorgitiko,10.0,Gaia,Agiorgitiko Gaia (236),Red,2017
13,Greece,,Agiorgitiko,11.4,Semeli,Semeli Nemea Reserve (494),Red,2015
13.5,Greece,,Merlot,30.0,Chatzimichalis,"Hatzimichalis Estate - Merlot ""Vineyard Alargino"" (1548)",Red,2011
12,Greece,,Chardonnay,10.5,Tsantalis,Kanenas - White (537),White,2018
14,Greece,,Chardonnay,24.8,Chatzimichalis,"Estate Hadjimichali - Kapnias ""Vineyard Zygos"" (562)",White,2017
14,Greece,,Cabernet Sauvignon,51.4,Tsantalis,Kormilitsa - Red (1756),Red,2014
12.5,Greece,,Chardonnay,28.5,Tsantalis,Kormilitsa - White (1757),White,2017
13,Greece,,Cabernet Franc,42.4,Chatzimichalis,Hatzimichalis Estate - Opus IB Cabernet Franc (2795),Red,2004
14,Greece,,Aidani,36.1,Gaia,Vinsanto by Gaia  (2668),White,2006
12,Greece,,Agiorgitiko,9.8,Gaia,Gaia 4-6h (3872),,2018
,Greece,,Monemvasia,11.2,Moraitis,Paros  White (3995),White,2018
13.5,Greece,,Syrah,13.6,Tsantalis,Kanenas - Red (541),Red,2016
,Greece,,Aidani,11.8,Moraitis,Moraitis Rose (3997),,2018
13,Greece,,Cabernet Sauvignon,10.2,Anastasia Fragou,Savatiano (4269),Red,2017
13,Greece,,Merlot,10.2,Anastasia Fragou,Savatiano (4270),,2018
14,Greece,,Cabernet Sauvignon,27.5,Chatzimichalis,"Estate Hadjimichali - Kapnias ""Vineyard Zygos"" (563)",Red,2011
