alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
13,NEW ZEALAND,7.99,Sauvignon Blanc,9.99,,Devil's Creek Marlborough Sauvignon Blanc 2017/2018,White,2018
13.5,SPAIN,11.99,Smooth Red,13.99,,Definition Rioja Reserva 2013,Red,2013
13,NEW ZEALAND,8.99,Sauvignon Blanc,9.99,,Dawn Star Marlborough Sauvignon Blanc,White,
13,NEW ZEALAND,7.99,Sauvignon Blanc,10.99,,The Ned Waihopai River Sauvignon Blanc 2018 Marlborough,White,2018
12.5,NEW ZEALAND,6.99,Sauvignon Blanc,8.99,,Castaway Island Marlborough Sauvignon Blanc 2018,White,2018
14.5,FRANCE,7.99,"Merlot, Cabernet Franc, Cabernet Sauvignon",11.99,,Château Recougne 2016 Bordeaux Supérieur,Red,2016
13.5,PORTUGAL,7.99,Smooth Red,8.99,,Porta 6 2017 Lisboa,Red,2017
13,FRANCE,14.99,Rose,19.99,,Miraval Rosé 2018 Côtes de Provence,Rose,2018
14,SPAIN,15.99,Smooth Red,17.99,,Rioja Reserva 2014 Beronia,Red,2014
14,NEW ZEALAND,8.99,Crisp White,10.99,,The Ned Pinot Grigio 2018 Marlborough,White,2018
13,FRANCE,10.99,"Merlot, Cabernet Franc",12.99,,Vieux Remparts 2016 Lussac St-Emilion,Red,2016
13,SPAIN,8.99,Crisp White,10.99,,Caixas Albariño 2017/18 Rías Baixas,White,2017
13,CHILE,5.99,"Syrah, Merlot",8.99,,Santa Rita 120 Merlot 2017 Central Valley,Red,2017
13.5,SPAIN,23.99,Smooth Red,26.99,,Rioja Reserva Viña Ardanza 2009 La Rioja Alta,Red,2009
12.5,NEW ZEALAND,8.99,Sauvignon Blanc,10.99,,Russian Jack Sauvignon Blanc 2017 Marlborough,White,2017
13.5,CHILE,5.99,"Sémillon, Sauvignon Blanc",8.99,,Santa Rita 120 Sauvignon Blanc 2017 Central Valley,White,2017
12.5,FRANCE,7.99,Pinot Noir,8.99,,Olivier Dubois Cuvee Prestige Pinot Noir 2017 VdF,Red,2017
