Igemon (1741),,49.60,45.63,Nemeion,Agiorgitiko,2007,750ml,14%
Freedom (3929),,27.30,25.12,Avantis,Syrah,2016,750ml,14%
Plagies Gerakion - White (2516),,,,Avantis,Sauvignon Blanc,2017,750ml,13%
Malagouzia Drios Karadimou (2915),,12.10,11.13,Karadimos,Malagouzia,2017,750ml,
Porto Carras - Malagouzia  (468),,,,Porto Carras,Malagouzia,2018,750ml,13.5%
Melissanthi (467),,9.50,8.55,Porto Carras,Athiri,2018,750ml,13.5%
Chateau Porto Carras (472),,15.50,13.95,Porto Carras,Cabernet Franc,2010,750ml,13.5%
Agionymo Lafkiotis (2647),,12.30,11.31,Lafkiotis,Agiorgitiko,2000,750ml,12.5%
Plagies Gerakion - Red (2517),,22.40,20.59,Avantis,Syrah,2016,750ml,14%
Hilia Stafilia (3805),,8.60,,Karadimos,Cabernet Sauvignon,2017,750ml,
Semeli Mantinea - Nasiakos (31),,,,Semeli,Moshofilero,2009,750ml,12%
Mikri Kivotos - White (960),,10.20,9.18,Lantides,Malagouzia,750ml,12.5%,
Orinos Helios - White (484),,,,Semeli,Sauvignon Blanc,2009,750ml,12%
Boutari - Agiorgitiko (3),,,,Boutari,Agiorgitiko,2017,750ml,12.5%
Orinos Helios - Rose (2256),,8.60,7.74,Semeli,Agiorgitiko,2009,750ml,13%
Foloi (388),,8.80,7.92,Mercury,Viognier,2018,750ml,12.6%
Lantides Estate - Chrysampelo (1745),,8.40,7.73,Lantides,Cabernet Sauvignon,2005,750ml,13.9%
Orinos Helios - Red (490),,8.60,7.74,Semeli,Syrah,2017,750ml,13%
Anosis (1749),,8.80,7.92,Lantides,Moshofilero,2018,750ml,12%
Moschofilero Lafkiotis (2648),,7.40,6.81,Lafkiotis,Moshofilero,2007,750ml,11.5%
Alexandra (2544),,12.10,11.13,Claudia Papayianni,Malagouzia,2018,750ml,12%
CP White (2545),,10.40,9.57,Claudia Papayianni,Viognier,2017,750ml,12.2%
Oros (4078),,13.00,11.96,Akrathos,Sauvignon Blanc,2017,13.2%,
Giorti - White (2696),,6.60,5.94,Semeli,Agiorgitiko,750ml,,
Domaine Claudia Papayianni White (2543),,13.30,12.24,Claudia Papayianni,Chardonnay,2016,750ml,12.6%
Terra Leone - Ammos Reserve (73),,16.60,15.27,Palivos,Agiorgitiko,2006,750ml,14%
Boutari - Kritikos Red (3037),,5.30,4.77,Boutari,Kotsifali,2016,750ml,12%
Palivou Estate - Nemea (74),,10.90,10.03,Palivos,Agiorgitiko,2006,750ml,13.5%
Vineyard Palivou - Petrines Plagies (76),,,,Palivos,Chardonnay,2009,750ml,13.5%
ANAX (154),,36.00,33.12,Antonopoulos,Chardonnay,2018,750ml,14%
Notes Rose (228),,11.80,10.62,Gentilini Kosmetatos,Moshofilero,2018,750ml,12.5%
Iliostalachtos - White (2074),,6.90,6.17,Symeonidis,Sauvignon Blanc,2018,750ml,12.5%
Matsa - Malagouzia (418),,,,Matsa,Malagouzia,2018,750ml,13%
Iliostalachtos - Red (2075),,8.20,7.35,Symeonidis,Cabernet Sauvignon,2013,750ml,13%
Lampadias (397),,,,Mercury,Syrah,2017,750ml,12.5%
4 Epoches (9),,9.90,9.11,Boutari,Chardonnay,2010,750ml,12%
Piccolo Mondo - White (2697),,6.60,5.94,Semeli,Moshofilero,750ml,,
Ampelois Gold (2183),,15.40,14.17,Ampelois,Merlot,2012,750ml,14%
Symfonia (2186),,11.70,10.76,Ampelois,Sauvignon Blanc,2017,750ml,13%
Vissinokipos (75),,,,Palivos,Agiorgitiko,2008,750ml,13.5%
Karipidis - Sangiovese (355),,16.90,15.55,Karipidis,Sangiovese,2014,750ml,14%
